0018ec57-39a9-4deb-8baf-ac5fedda669a,28,1662,2017-11-10 11:34:00.0,854c34b0_a5b9_4930_8a63_63c2f5ba3d20
00ca2e44-6ae5-42a2-a335-ab4308ed9355,17,2088,2017-11-10 11:34:00.0,a4ef1083_7114_4c98_9291_846b8155713a
01b5fb6a-a372-4f04-ba56-a452847ebaad,86,3046,2017-11-10 11:34:00.0,67a583f2_3553_404c_835f_fca1db649f38
02fa3b25-f08f-48af-8ee7-4ce7d30d9f4c,37,2512,2017-11-10 11:34:00.0,6aaa0932_7798_4c37_9436_79c677079089
03198779-8e27-4c50-bd54-9c2d94c66288,94,1455,2017-11-10 11:34:00.0,d0ce91ad_bb05_407d_9b61_17bc36d675bb
03bc97d8-707f-4d9b-9765-0321b378e723,21,549,2017-11-10 11:34:00.0,ad0be531_8d34_443e_ba97_23d8b9e1b805
04e7904c-99a4-4067-bb0f-afdf313e65d6,30,3323,2017-11-10 11:34:00.0,1d79212b_0aa3_4e5b_bb8c_d400908d0e4a
05c1e726-6a05-4133-9900-34ae3a2457a5,20,1240,2017-11-10 11:34:00.0,a4618514_f8e2_44cf_b46f_7cf6dc15d4d3
05c3de08-016b-46d5-9306-f0ccc0b6bf47,60,329,2017-11-10 11:34:00.0,363965a5_fb52_44ad_9941_701ce8a59e7d
069a3786-be0a-4d09-a624-3f5e272076d1,84,1944,2017-11-10 11:34:00.0,a8b2447e_e117_4456_b00e_9b978ca90300
08b5c8a0-c103-4893-8668-9a34e13d8015,93,2815,2017-11-10 11:34:00.0,7f81ecb0_b5ea_491b_9083_efcc92819eb5
08cad62a-f669-457f-9d58-87abd079aec8,53,324,2017-11-10 11:34:00.0,5a293e65_c3fd_410b_973d_79f8dd209753
098b04aa-f6d6-4db8-b96d-43713d2425c0,6,25,2017-11-10 11:34:00.0,8b28e5fb_e47a_4323_8c59_8765c01fdb13
09e6b1fb-190c-47d5-810a-fda439b16c8e,7,2128,2017-11-10 11:34:00.0,f26575e6_449a_46e9_bf93_ec7d25bc6ee4
0a4a8447-cbe2-47da-bd53-9fe9bdfacdf3,99,9,2017-11-10 11:34:00.0,bae2c982_b9be_434a_bcd4_6b122534d4be
0d4d7273-3922-48ac-bb0f-cff6c745c7bb,18,556,2017-11-10 11:34:00.0,e35b21c5_ba53_4325_b972_c2db8b7a5817
0e0b0846-9458-46b8-8c26-4fd988734f32,40,1669,2017-11-10 11:34:00.0,7ce613fe_a9ee_412b_8a1b_91d9ca7b61c6
13ede675-fff2-47db-8d0f-2033d810152b,16,428,2017-11-10 11:34:00.0,4a0a29a9_f6fd_4f83_ad60_e0b46ad5a181
14e9bec5-b378-4561-9e44-d49f923850bf,70,343,2017-11-10 11:34:00.0,b52843e1_dfa4_41bb_93b8_64c5edb2d28c
